name,slug,value,date_of_information,ranking,region
"Taiwan","taiwan","$1,143,000,000,000","2019",30,"East and Southeast Asia"
"Philippines","philippines","$1,138,000,000,000","2023",31,"East and Southeast Asia"
"Colombia","colombia","$978,007,000,000","2023",32,"South America"
"South Africa","south-africa","$865,402,000,000","2023",33,"Africa"
"Romania","romania","$775,064,000,000","2023",34,"Europe"
"Belgium","belgium","$756,586,000,000","2023",35,"Europe"
"Singapore","singapore","$754,758,000,000","2023",36,"East and Southeast Asia"
"Switzerland","switzerland","$733,779,000,000","2023",37,"Europe"
"United Arab Emirates","united-arab-emirates","$718,950,000,000","2023",38,"Middle East"
"Kazakhstan","kazakhstan","$705,520,000,000","2023",39,"Central Asia"
"Algeria","algeria","$699,818,000,000","2023",40,"Africa"
"Sweden","sweden","$665,016,000,000","2023",41,"Europe"
"Ireland","ireland","$609,962,000,000","2023",42,"Europe"
"Austria","austria","$593,703,000,000","2023",43,"Europe"
"Chile","chile","$579,201,000,000","2023",44,"South America"
"Iraq","iraq","$572,939,000,000","2023",45,"Middle East"
"Ukraine","ukraine","$560,111,000,000","2023",46,"Europe"
"Czechia","czechia","$539,737,000,000","2023",47,"Europe"
"Peru","peru","$517,644,000,000","2023",48,"South America"
"Norway","norway","$499,357,000,000","2023",49,"Europe"
"Hong Kong","hong-kong","$485,834,000,000","2023",50,"East and Southeast Asia"
"Israel","israel","$472,533,000,000","2023",51,"Middle East"
"Portugal","portugal","$441,697,000,000","2023",52,"Europe"
"Denmark","denmark","$428,759,000,000","2023",53,"Europe"
"Hungary","hungary","$388,906,000,000","2023",54,"Europe"
"Greece","greece","$384,023,000,000","2023",55,"Europe"
"Uzbekistan","uzbekistan","$356,797,000,000","2023",56,"Central Asia"
"Ethiopia","ethiopia","$354,604,000,000","2023",57,"Africa"
"Morocco","morocco","$339,603,000,000","2023",58,"Africa"
"Finland","finland","$318,638,000,000","2023",59,"Europe"
"Kenya","kenya","$314,491,000,000","2023",60,"Africa"
"Qatar","qatar","$308,522,000,000","2023",61,"Middle East"
"Burma","burma","$290,381,000,000","2023",62,"East and Southeast Asia"
"Sri Lanka","sri-lanka","$287,132,000,000","2023",63,"South Asia"
"Venezuela","venezuela","$269,068,000,000","2018",64,"South America"
"Angola","angola","$266,249,000,000","2023",65,"Africa"
"Dominican Republic","dominican-republic","$261,616,000,000","2023",66,"Central America and the Caribbean"
"Ecuador","ecuador","$260,213,000,000","2023",67,"South America"
"New Zealand","new-zealand","$255,026,000,000","2023",68,"Australia and Oceania"
"Belarus","belarus","$254,407,000,000","2023",69,"Europe"
"Tanzania","tanzania","$233,786,000,000","2023",70,"Africa"
"Ghana","ghana","$229,639,000,000","2023",71,"Africa"
"Kuwait","kuwait","$225,481,000,000","2023",72,"Middle East"
"Guatemala","guatemala","$224,556,000,000","2023",73,"Central America and the Caribbean"
"Azerbaijan","azerbaijan","$215,896,000,000","2023",74,"Middle East"
"Bulgaria","bulgaria","$215,338,000,000","2023",75,"Europe"
"Slovakia","slovakia","$213,219,000,000","2023",76,"Europe"
"Cote d'Ivoire","cote-divoire","$202,119,000,000","2023",77,"Africa"
"Oman","oman","$193,445,000,000","2023",78,"Middle East"
"Serbia","serbia","$172,402,000,000","2023",79,"Europe"
"Panama","panama","$159,908,000,000","2023",80,"Central America and the Caribbean"
"Croatia","croatia","$158,698,000,000","2023",81,"Europe"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$154,012,000,000","2023",82,"Africa"
"Tunisia","tunisia","$153,152,000,000","2023",83,"Africa"
"Nepal","nepal","$144,310,000,000","2023",84,"South Asia"
"Cameroon","cameroon","$138,191,000,000","2023",85,"Africa"
"Puerto Rico","puerto-rico","$137,828,000,000","2023",86,"Central America and the Caribbean"
"Cuba","cuba","$137,000,000,000","2017",87,"Central America and the Caribbean"
"Uganda","uganda","$135,803,000,000","2023",88,"Africa"
"Costa Rica","costa-rica","$134,238,000,000","2023",89,"Central America and the Caribbean"
"Lithuania","lithuania","$134,219,000,000","2023",90,"Europe"
"Turkmenistan","turkmenistan","$131,576,000,000","2023",91,"Central Asia"
